localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
san miguel de tucuman,tucuman,6,gnc,22,2018-11-03 10:43:00,8,refinor,-26.83842,-65.21142
san miguel de tucuman,tucuman,6,gnc,22,2018-11-03 10:43:00,8,refinor,-26.83842,-65.21142
lomas de zamora,buenos aires,6,gnc,16,2018-12-01 16:00:00,2,ypf,-34.72801,-58.41964
lomas de zamora,buenos aires,6,gnc,16,2018-12-01 16:00:00,2,ypf,-34.72801,-58.41964
la matanza,buenos aires,6,gnc,17,2018-12-03 11:51:00,2,ypf,-34.72567,-58.53188
la matanza,buenos aires,6,gnc,17,2018-12-03 11:51:00,2,ypf,-34.72567,-58.53188
capital federal,capital federal,6,gnc,16,2018-12-05 11:01:00,1,blanca,-34.602331,-58.416364
capital federal,capital federal,6,gnc,16,2018-12-05 11:01:00,1,blanca,-34.602331,-58.416364
capital federal,capital federal,6,gnc,15,2018-12-06 16:46:00,1,blanca,-34.63932,-58.454156
capital federal,capital federal,6,gnc,15,2018-12-06 16:46:00,1,blanca,-34.63932,-58.454156
capital federal,capital federal,6,gnc,16,2018-12-07 22:00:00,26,axion,-34.586741,-58.441015
capital federal,capital federal,6,gnc,16,2018-12-07 22:00:00,26,axion,-34.586741,-58.441015
santa fe,santa fe,6,gnc,20,2018-12-13 07:25:00,1,blanca,-31.63605,-60.702012
santa fe,santa fe,6,gnc,20,2018-12-13 07:25:00,1,blanca,-31.63605,-60.702012
santa fe,santa fe,6,gnc,20,2018-12-13 07:26:00,1,blanca,-31.61853,-60.69799
santa fe,santa fe,6,gnc,20,2018-12-13 07:26:00,1,blanca,-31.61853,-60.69799
santa fe,santa fe,6,gnc,20,2018-12-13 07:26:00,1,blanca,-31.644899,-60.689684
santa fe,santa fe,6,gnc,20,2018-12-13 07:26:00,1,blanca,-31.644899,-60.689684
san juan,san juan,6,gnc,18,2018-12-31 18:34:00,26,axion,-31.533927,-68.545634
san juan,san juan,6,gnc,18,2018-12-31 18:34:00,26,axion,-31.533927,-68.545634
las flores,buenos aires,6,gnc,22,2019-01-07 11:32:00,2,ypf,-36.02618,-59.08436
las flores,buenos aires,6,gnc,22,2019-01-07 11:32:00,2,ypf,-36.02618,-59.08436
gral pico,la pampa,6,gnc,21,2019-02-08 21:29:00,4,shell,-35.659506,-63.749856
gral pico,la pampa,6,gnc,21,2019-02-08 21:29:00,4,shell,-35.659506,-63.749856
san miguel de tucuman,tucuman,6,gnc,21,2019-03-05 20:17:00,2,ypf,-26.794493,-65.197619
san miguel de tucuman,tucuman,6,gnc,21,2019-03-05 20:17:00,2,ypf,-26.794493,-65.197619
cordoba,cordoba,6,gnc,22,2019-04-10 15:08:00,1,blanca,-31.3707,-64.053095
cordoba,cordoba,6,gnc,22,2019-04-10 15:08:00,1,blanca,-31.3707,-64.053095
hurlingham,buenos aires,6,gnc,19,2019-04-30 14:23:00,2,ypf,-34.59352,-58.62226
hurlingham,buenos aires,6,gnc,19,2019-04-30 14:23:00,2,ypf,-34.59352,-58.62226
la plata,buenos aires,6,gnc,22,2019-05-07 20:19:00,1,blanca,-34.946813,-57.94568
la plata,buenos aires,6,gnc,22,2019-05-07 20:19:00,1,blanca,-34.946813,-57.94568
vicente lopez,buenos aires,6,gnc,20,2019-05-09 22:00:00,26,axion,-34.53165,-58.46892
vicente lopez,buenos aires,6,gnc,20,2019-05-09 22:00:00,26,axion,-34.53165,-58.46892
chascomus,buenos aires,6,gnc,25,2019-05-09 23:11:00,1,blanca,-35.533799,-58.002905
chascomus,buenos aires,6,gnc,25,2019-05-09 23:11:00,1,blanca,-35.533799,-58.002905
remedios de escalada,buenos aires,6,gnc,20,2019-06-13 14:00:00,2,ypf,-34.7331,-58.40987
remedios de escalada,buenos aires,6,gnc,20,2019-06-13 14:00:00,2,ypf,-34.7331,-58.40987
beltran,mendoza,6,gnc,23,2019-07-06 10:27:00,1,blanca,-32.989737,-68.665533
beltran,mendoza,6,gnc,23,2019-07-06 10:27:00,1,blanca,-32.989737,-68.665533
palmira,mendoza,6,gnc,23,2019-07-06 10:29:00,1,blanca,-33.057412,-68.546648
palmira,mendoza,6,gnc,23,2019-07-06 10:29:00,1,blanca,-33.057412,-68.546648
